Project Name,Project URL,Commit Hash,Number of commits,Number of contributors,Number of Python files,Number of IPynb files,Number of lines of pure Python,Number of lines of IPynb Python,Has requirements.txt file,Total Pylint messages,convention,refactor,warning,error,fatal,import-pandas,import-numpy,import-pyplot,import-sklearn,import-tensorflow,import-pytorch,unnecessary-iteration-pandas,dataframe-iteration-modification-pandas,unnecessary-iteration-tensorflow,nan-numpy,chain-indexing-pandas,datatype-pandas,column-selection-pandas,merge-parameter-pandas,inplace-pandas,dataframe-conversion-pandas,scaler-missing-scikitlearn,hyperparameters-scikitlearn,hyperparameters-tensorflow,hyperparameters-pytorch,memory-release-tensorflow,deterministic-pytorch,randomness-control-numpy,randomness-control-scikitlearn,randomness-control-tensorflow,randomness-control-pytorch,randomness-control-dataloader-pytorch,missing-mask-tensorflow,missing-mask-pytorch,tensor-array-tensorflow,forward-pytorch,gradient-clear-pytorch,pipeline-not-used-scikitlearn,dependent-threshold-scikitlearn,dependent-threshold-tensorflow,dependent-thrld-pytorch
Deep-Learning-21-Examples,https://github.com/hzy46/Deep-Learning-21-Examples,15c2d9edccad090cd67b033f24a43c544e5cba3e,14,2,515,5,98138,1301,FALSE,282,1,1,280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83,2,177,0,0,15,0,0,3,0,0,0,0,0
nnabla,https://github.com/sony/nnabla,3693d126b0452e22a1e279bcf27a09e0c6153412,3062,91,752,13,154422,2639,FALSE,265,14,0,251,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
chainer-chemistry,https://github.com/chainer/chainer-chemistry,efe323aa21f63a815130d673781e7cca1ccb72d2,1591,33,306,2,30535,239,TRUE,200,177,13,10,0,0,13,164,0,0,0,0,0,0,0,0,0,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
tensorflow-onnx,https://github.com/onnx/tensorflow-onnx,a64af2e2d74ff562ecb8b557655fa42b97f6e412,2676,82,409,8,79299,808,TRUE,96,29,0,67,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0
deep-learning-from-scratch-2,https://github.com/oreilly-japan/deep-learning-from-scratch-2,484c6e0b45435b1240d3c51f20b6e8357e096fdd,71,7,55,0,3703,0,FALSE,80,3,0,77,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
zhusuan,https://github.com/thu-ml/zhusuan,4386b2a12ae4f4ed8e694e504e51d7dcdfd6f22a,439,29,92,0,18359,0,TRUE,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,48,0,0,0,0,0,0,0,0
tensorflow_end2end_speech_recognition,https://github.com/hirofumi0810/tensorflow_end2end_speech_recognition,65b9728089d5e92b25b92384a67419d970399a64,216,5,207,0,33335,0,TRUE,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,51,0,0,0,0,0,5,0,0,0,0,0
lexpredict-lexnlp,https://github.com/LexPredict/lexpredict-lexnlp,ffde6deb0d022a02baaaf66382a25bd6575d42f4,141,9,321,0,29395,0,TRUE,52,23,29,0,0,0,15,8,0,0,0,0,3,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moonlight,https://github.com/tensorflow/moonlight,b34e8a0106a7d877e4831555be8972a5254f5d96,139,9,113,0,12702,0,TRUE,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,33,0,0,0,0,0,0,0,0,0,0,0
skorch,https://github.com/skorch-dev/skorch,fe71e3d55a4ae5f5f94ef7bdfc00fca3b3fd267f,985,50,61,9,25146,1627,TRUE,34,2,2,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,2,1,0,1,3,0,3,0,13,0,0,0,0,0
