Project Name,Project URL,Commit Hash,Number of commits,Number of contributors,Number of Python files,Number of IPynb files,Number of lines of pure Python,Number of lines of IPynb Python,Has requirements.txt file,Total Pylint messages,convention,refactor,warning,error,fatal,import-pandas,import-numpy,import-pyplot,import-sklearn,import-tensorflow,import-pytorch,unnecessary-iteration-pandas,dataframe-iteration-modification-pandas,unnecessary-iteration-tensorflow,nan-numpy,chain-indexing-pandas,datatype-pandas,column-selection-pandas,merge-parameter-pandas,inplace-pandas,dataframe-conversion-pandas,scaler-missing-scikitlearn,hyperparameters-scikitlearn,hyperparameters-tensorflow,hyperparameters-pytorch,memory-release-tensorflow,deterministic-pytorch,randomness-control-numpy,randomness-control-scikitlearn,randomness-control-tensorflow,randomness-control-pytorch,randomness-control-dataloader-pytorch,missing-mask-tensorflow,missing-mask-pytorch,tensor-array-tensorflow,forward-pytorch,gradient-clear-pytorch,pipeline-not-used-scikitlearn,dependent-threshold-scikitlearn,dependent-threshold-tensorflow,dependent-thrld-pytorch
glassy_dynamics (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,7,0,1236,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optax,https://github.com/deepmind/optax.git,a124552d0fc9f81812cd82da0d22528b7a17a847,410,51,56,3,11580,223,TRUE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
kuzushiji-recognition,https://github.com/mv-lab/kuzushiji-recognition.git,08caaeaf40a00e1264b27e0f2157515b8ba8bc95,8,5,17,11,1530,2555,FALSE,10,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SIIM-ISIC-Melanoma-Classification-1st-Place-Solution,https://github.com/haqishen/SIIM-ISIC-Melanoma-Classification-1st-Place-Solution,2c4a5428c6d410e97d2a74aacd5f86b3750d32cf,10,2,7,0,1044,0,FALSE,15,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0
navigan,https://github.com/yandex-research/navigan.git,6631ce66a77c8d7ac5fcdddbaedc6e899ddfd0dd,22,2,58,2,6191,109,FALSE,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,2,4,0,1,0,0,0,0,0,0,0
unrestricted_advx (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,1,0,58,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaggle-lyft-motion-prediction-av,https://github.com/asanakoy/kaggle-lyft-motion-prediction-av,3c7290dafec92f7186e843cefe96a06d03cba880,27,4,21,0,3433,0,FALSE,37,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,7,0,0,8,8,0,4,0,0,0,0,0,0,0
cs_gan (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,10,0,1562,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polygen (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,4,2,2132,278,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
python (google-landmarks-2020),https://github.com/hav4ik/google-landmarks-2020.git,7fddf53c7cd32fe9d62b2ab20db97cc72d1bb4ab,69,2,23,0,1911,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deit,https://github.com/facebookresearch/deit.git,a2ffd162edc49b30f6ed8044cd10444bf2ae1299,104,14,14,0,3190,0,TRUE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
muzero-general,https://github.com/werner-duvaud/muzero-general.git,0c4c335d0492d48f7cb8979d479b2761b5d267fb,130,18,19,1,6481,16,TRUE,21,16,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0
rl_unplugged (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,7,6,1539,1199,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CellSignal-Cell-Image-Analysis,https://github.com/SeuTao/CellSignal-Cell-Image-Analysis.git,58471b228ca9a88e4c52edef295be4f60d1af1db,2,1,20,0,3696,0,FALSE,33,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,4,0,0,0,0,0
RSNA-STR-Pulmonary-Embolism-Detection,https://github.com/GuanshuoXu/RSNA-STR-Pulmonary-Embolism-Detection.git,f5552d40ba9c32e7c16f36e1d2a03ed883ca7858,4,2,229,0,78572,0,FALSE,175,0,30,145,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,44,18,0,0,34,34,0,0,0,4,0,0,0,0,0
pix2pix-model,https://github.com/sigtot/pix2pix-model,e863b34f149d449ee653267442f5a9a46c4433fe,98,11,7,2,453,257,TRUE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
self-attention-gan,https://github.com/brain-research/self-attention-gan.git,ad9612e60f6ba2b5ad3d3340ebae60f724636d75,8,3,9,0,2239,0,FALSE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
catch_carry (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,10,0,1836,0,TRUE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
tvt (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,14,0,2775,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interview,https://github.com/apachecn/Interview.git,f3ed16d3c8a4fcf754e5e0538c908530b403b87e,13,2,39,7,5951,2279,FALSE,89,1,71,17,0,0,0,0,0,0,0,1,0,0,0,0,0,32,28,0,0,3,2,11,0,0,0,1,5,1,0,1,4,0,0,0,0,0,0,0,0,0
Kaggle_Lyft,https://github.com/ciararogerson/Kaggle_Lyft.git,1a1637b26758f2bd4fcf431cb0d62846f49bf84d,58,1,8,0,4713,0,FALSE,27,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,3,1,0,0,1,2,0,2,0,0,0,0,0,0,0
Group28,https://github.com/PieterBijl/Group28,cfb680b9fd0bd26b60abbf96c666a3bfcfeff1b4,542,58,10,1,851,16,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeOldify,https://github.com/jantic/DeOldify.git,726fcc0776c828a00558e3a73a32ca202b66a593,478,40,18,13,2356,1920,TRUE,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0
sketchy (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,5,0,338,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yolact_edge,https://github.com/haotian-liu/yolact_edge.git,a42c2b65248e8da29b7943ed43573be50ba2d17f,74,7,46,0,11063,0,TRUE,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,1,0,3,0,0,0,0,0,0,0
byol (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,16,0,3037,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gated_linear_networks (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,8,1,1427,156,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learning_to_simulate (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,8,0,1488,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
option_keyboard (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,25,1,3143,262,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
side_effects_penalties (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,9,1,1753,63,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaggle-understanding-clouds,https://github.com/pudae/kaggle-understanding-clouds.git,898319b564deab02b4267cc658bbebdbb15c49de,17,1,59,0,4744,0,TRUE,15,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
instance_level_recognition,https://github.com/bestfitting/instance_level_recognition.git,683f021b4e65876835f028797ec28b0d1071bb45,6,1,35,1,3085,1610,FALSE,19,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
unsupervised_adversarial_training (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,2,0,240,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
severstal-steel-defect-detection,https://github.com/khornlund/severstal-steel-defect-detection.git,ea62aa7badc89c06d21f6495f8420c2fcda7f7c0,79,1,29,17,2924,1298,TRUE,14,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
kaggle_moa_winner_hungry_for_gold,https://github.com/guitarmind/kaggle_moa_winner_hungry_for_gold.git,eeba59fe3285938721dc4f47791e1154e3334b06,216,3,37,52,42575,43387,FALSE,702,0,417,285,0,0,0,0,0,0,0,0,0,0,0,0,0,226,191,0,0,139,6,0,0,0,0,0,0,0,0,0,133,0,7,0,0,0,0,0,0,0
Kaggle-2020-Alaska2,https://github.com/BloodAxe/Kaggle-2020-Alaska2,3c1f5e8e564c9f04423beef69244fc74168f88ca,616,3,136,1,20917,179,FALSE,262,3,143,116,0,0,0,0,0,3,0,0,0,0,0,0,8,100,38,0,0,13,0,0,0,5,0,18,24,1,1,18,30,0,2,0,0,0,0,0,0,0
kaggle-rcic-1st,https://github.com/maciej-sypetkowski/kaggle-rcic-1st.git,fcc1622b2a6051c0f390eac39ecb3cdb2ad2178e,1,1,5,0,1493,0,FALSE,13,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
BackgroundMattingV2,https://github.com/PeterL1n/BackgroundMattingV2.git,220003663d72b9bab207398217680ea1d22db0fe,39,6,23,0,2463,0,TRUE,12,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0
svoice,https://github.com/facebookresearch/svoice.git,1e381907afeb85fe89e9f0b44af6c3bc96b3693f,20,7,17,0,2341,0,TRUE,13,2,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0
scratchgan (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,8,0,1383,0,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
kaggle-cloud-organization,https://github.com/naivelamb/kaggle-cloud-organization.git,08750c89d56235eee68c8827afb075610e53569d,20,4,45,0,8322,0,FALSE,92,0,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,0,0,2,0,0,0,0,0,11,3,0,0,11,12,0,1,0,0,0,0,0,0,0
RSNA2019_Intracranial-Hemorrhage-Detection,https://github.com/SeuTao/RSNA2019_Intracranial-Hemorrhage-Detection,ca449fb3d947e86f99e6f2f153f20248ebb9faaf,34,5,27,0,5775,0,TRUE,84,0,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16,0,0,0,0,0,0,0,0,7,5,0,0,6,14,0,1,0,0,0,0,0,0,0
kaggle_rsna2019_3rd_solution,https://github.com/okotaku/kaggle_rsna2019_3rd_solution.git,87ca0c61dcb86e18f4ef3283347c9f7bebff2841,22,3,71,0,9079,0,TRUE,341,0,139,202,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25,0,0,10,0,0,0,0,0,46,46,0,0,46,54,0,0,0,0,0,0,0,0,0
3rd-kaggle-moa-2020-solution,https://github.com/jxzly/3rd-kaggle-moa-2020-solution,7956ac36cef73c1f6392323c799e1ec309ab43f7,6,2,6,0,3703,0,FALSE,176,0,94,82,0,0,0,0,0,0,0,0,0,0,0,0,0,56,38,0,0,31,16,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0
kaggle-lyft-motion-pred,https://github.com/Fkaneko/kaggle-lyft-motion-pred.git,05c940c4783ee7773ef251ea0b21603030bf1023,9,1,5,0,1020,0,TRUE,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,0
faceswap-GAN,https://github.com/shaoanlu/faceswap-GAN,17219d082e1071963afb5ee13393a4bd79715b6c,279,5,30,13,4323,6576,FALSE,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alphafold_casp13 (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,13,0,2503,0,TRUE,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
geomancer (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,4,0,636,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmv (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,14,0,2922,0,TRUE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
kaggle-rsna-pe,https://github.com/i-pan/kaggle-rsna-pe.git,81ca9ee45014b7ef1647000492a4ef5fbad7126f,5,1,54,0,6875,0,FALSE,66,0,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0
kaggle-landmark-recognition-2020-1st-place,https://github.com/psinger/kaggle-landmark-recognition-2020-1st-place.git,4e39676daf8b8d06f3a0586388fa78c370becb51,8,1,13,2,1429,254,TRUE,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
kaggle-kuzushiji-2019,https://github.com/lopuhin/kaggle-kuzushiji-2019.git,218308c046628da121b067933af40cf0420211a3,221,1,35,1,5886,82,TRUE,45,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,2,0,5,4,0,0,5,6,0,2,0,0,0,0,0,0,0
RSNA-Pulmonary-Embolism-Detection,https://github.com/OrKatz7/RSNA-Pulmonary-Embolism-Detection.git,e3849d5bf0c9c3afa47738f674f0ff694688aeaf,55,1,17,0,4164,0,FALSE,55,0,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,2,0,0,0,0,0,2,1,0,0,1,20,0,0,0,0,0,0,0,0,0
Google-Landmark-Recognition-2020-3rd-Place-Solution,https://github.com/haqishen/Google-Landmark-Recognition-2020-3rd-Place-Solution.git,a7947ff091662909ac32aa7fad1b4be5f4185122,16,4,6,1,734,349,FALSE,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PanopticFCN,https://github.com/yanwei-li/PanopticFCN.git,f4141c3ac9162f8f9ca1927e240f4758b6aad24b,11,1,11,0,1786,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hierarchical_probabilistic_unet (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,5,1,993,214,TRUE,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
iodine (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,12,1,3171,129,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics_planning_games (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,26,0,3731,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multi_object_datasets,https://github.com/deepmind/multi_object_datasets.git,9c670cd630940b9f8f5b0e9728472201a50a3370,12,1,7,0,577,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaggle-RSNA,https://github.com/ngxbac/Kaggle-RSNA.git,9d21698944fa15a57ba2065d217912e30d7b6701,30,1,19,0,1974,0,FALSE,22,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0
transporter (deepmind-research),https://github.com/deepmind/deepmind-research.git,1642ae3499c8d1135ec6fe620a68911091dd25ef,320,89,2,1,654,154,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
understanding-cloud-organization,https://github.com/khornlund/understanding-cloud-organization.git,134683aa1d33fb782790c2c9b4487f2470eea9f3,52,1,38,24,4427,1668,TRUE,21,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
kaggle-kuzushiji-recognition,https://github.com/tascj/kaggle-kuzushiji-recognition.git,169c400afae4bbff36d68eec3e675a2be638d2e0,11,1,322,1,46026,12,FALSE,40,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,8,1,0,0,8,1,0,5,0,3,0,0,0,0,0
kaggle-lyft-motion-prediction-4th-place-solution,https://github.com/pfnet-research/kaggle-lyft-motion-prediction-4th-place-solution.git,0bc51075db31a747eeebb7f4775a3cd26ad5f870,1,1,106,0,8665,0,FALSE,66,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,11,0,0,17,10,0,8,0,0,0,0,0,0,0
DL-unet,https://github.com/nsirons/DL-unet.git,8f437f0b327caee692d4a9c3b4e41e2914560dd3,90,6,6,1,1435,639,FALSE,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0
Kaggle-Recursion-Cellular,https://github.com/ngxbac/Kaggle-Recursion-Cellular.git,a91740a4ad984588c28a9369f303eba2e6b0bea0,57,3,15,0,1644,0,FALSE,18,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0
pytorch-CycleGAN-and-pix2pix,https://github.com/parvanitis15/pytorch-CycleGAN-and-pix2pix,a600a2363472a5aad660727a538f96b3042cec13,445,55,46,3,4559,323,TRUE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
