code,checker name,notebooks1,notebooks2,projects1,projects2,total,notebooks,projects,notebooks per 100000 lines,projects per 100000 lines
C5501,import-pandas,4,0,32,0,36,4,32,0.5,2.4
C5502,import-numpy,7,6,256,19,288,13,275,1.5,20.9
C5503,import-pyplot,2,0,1,0,3,2,1,0.2,0.1
C5504,import-sklearn,9,19,1,3,32,28,4,3.1,0.3
C5505,import-tensorflow,0,4,4,0,8,4,4,0.5,0.3
C5506,import-pytorch,2,0,0,3,5,2,3,0.2,0.2
R5501,unnecessary-iteration-pandas,8,15,3,0,26,23,3,2.6,0.2
W5501,dataframe-iteration-modification-pandas,0,0,0,0,0,0,0,0.0,0.0
R5502,unnecessary-iteration-tensorflow,0,0,0,0,0,0,0,0.0,0.0
E5501,nan-numpy,7,0,0,0,7,7,0,0.8,0.0
W5502,chain-indexing-pandas,73,22,0,8,103,95,8,10.6,0.6
R5503,datatype-pandas,2169,1586,47,766,4568,3755,813,418.5,61.8
R5504,column-selection-pandas,1907,1354,23,463,3747,3261,486,363.5,36.9
R5505,merge-parameter-pandas,6,3,1,0,10,9,1,1.0,0.1
W5503,inplace-pandas,21,20,0,0,41,41,0,4.6,0.0
W5504,dataframe-conversion-pandas,351,191,14,214,770,542,228,60.4,17.3
W5505,scaler-missing-scikitlearn,99,66,4,24,193,165,28,18.4,2.1
R5506,hyperparameters-scikitlearn,392,420,9,11,832,812,20,90.5,1.5
R5507,hyperparameters-tensorflow,19,16,1,0,36,35,1,3.9,0.1
R5508,hyperparameters-pytorch,4,7,6,12,29,11,18,1.2,1.4
W5506,memory-release-tensorflow,0,0,0,0,0,0,0,0.0,0.0
W5507,deterministic-pytorch,51,66,15,229,361,117,244,13.0,18.5
W5508,randomness-control-numpy,523,505,248,169,1445,1028,417,114.6,31.7
W5509,randomness-control-scikitlearn,106,91,6,8,211,197,14,22.0,1.1
W5510,randomness-control-tensorflow,83,103,443,42,671,186,485,20.7,36.9
W5511,randomness-control-pytorch,32,51,12,207,302,83,219,9.3,16.6
W5512,randomness-control-dataloader-pytorch,86,83,25,428,622,169,453,18.8,34.4
W5513,missing-mask-tensorflow,1,0,84,7,92,1,91,0.1,6.9
W5514,missing-mask-pytorch,3,0,5,49,57,3,54,0.3,4.1
W5515,tensor-array-tensorflow,0,0,0,0,0,0,0,0.0,0.0
W5516,forward-pytorch,3,8,16,33,60,11,49,1.2,3.7
W5517,gradient-clear-pytorch,0,3,1,0,4,3,1,0.3,0.1
W5518,pipeline-not-used-scikitlearn,159,135,0,0,294,294,0,32.8,0.0
W5519,dependent-threshold-scikitlearn,7,3,0,0,10,10,0,1.1,0.0
W5520,dependent-threshold-tensorflow,0,0,0,0,0,0,0,0.0,0.0
W5521,dependent-threshold-pytorch,0,0,0,0,0,0,0,0.0,0.0
,,,,,,,10911,3952,,
,,,,,,,897196,1315938,,
,,,,,,,1216.12223,300.3181001,,
