code,checker name,notebooks1,notebooks2,projects1,projects2,total,notebook2 tp(10),project2 tp (10)
C5501,import-pandas,4,0,32,0,36,0/0,0/0
C5502,import-numpy,7,6,256,19,288,6/6,10/10
C5503,import-pyplot,2,0,1,0,3,0/0,0/0
C5504,import-sklearn,9,19,1,3,32,10/10,3/3
C5505,import-tensorflow,0,4,4,0,8,4/4,0/0
C5506,import-pytorch,2,0,0,3,5,0/0,3/3
R5501,unnecessary-iteration-pandas,8,15,3,0,26,6/10,0/0
W5501,dataframe-iteration-modification-pandas,0,0,0,0,0,0/0,0/0
R5502,unnecessary-iteration-tensorflow,0,0,0,0,0,0/0,0/0
E5501,nan-numpy,7,0,0,0,7,0/0,0/0
W5502,chain-indexing-pandas,73,22,0,8,103,10/10,8/8
R5503,datatype-pandas,2169,1586,47,766,4568,10/10,10/10
R5504,column-selection-pandas,1907,1354,23,463,3747,10/10,10/10
R5505,merge-parameter-pandas,6,3,1,0,10,3/3,0/0
W5503,inplace-pandas,21,20,0,0,41,8/10,0/0
W5504,dataframe-conversion-pandas,351,191,14,214,770,10/10,9/10
W5505,scaler-missing-scikitlearn,99,66,4,24,193,9/10,10/10
R5506,hyperparameters-scikitlearn,392,420,9,11,832,10/10,10/10
R5507,hyperparameters-tensorflow,19,16,1,0,36,6/10,0/0
R5508,hyperparameters-pytorch,4,7,6,12,29,7/7,2/10
W5506,memory-release-tensorflow,0,0,0,0,0,0/0,0/0
W5507,deterministic-pytorch,51,66,15,229,361,3/3,10/10
W5508,randomness-control-numpy,523,499,248,169,1439,2/2,9/10
W5509,randomness-control-scikitlearn,106,91,6,8,211,10/10,8/8
W5510,randomness-control-tensorflow,83,100,443,42,668,0/0,8/10
W5511,randomness-control-pytorch,32,51,12,207,302,0/0,7/10
W5512,randomness-control-dataloader-pytorch,86,83,25,428,622,10/10,10/10
W5513,missing-mask-tensorflow,1,0,84,7,92,0/0,6/7
W5514,missing-mask-pytorch,3,0,5,49,57,0/0,10/10
W5515,tensor-array-tensorflow,0,0,0,0,0,0/0,0/0
W5516,forward-pytorch,3,8,16,33,60,10/10,6/10
W5517,gradient-clear-pytorch,0,3,1,0,4,0/3,0/0
W5518,pipeline-not-used-scikitlearn,159,135,0,0,294,10/10,0/0
W5519,dependent-threshold-scikitlearn,7,3,0,0,10,3/3,0/0
W5520,dependent-threshold-tensorflow,0,0,0,0,0,0/0,0/0
W5521,dependent-threshold-pytorch,0,0,0,0,0,0/0,0/0
E1,,,,,,,,
R8,,,,,,,,
W21,,,,,,,,
C6,,,,,,,,
total:36,,,,,,,,
total code smell,,6134,4768,1257,2695,,,
line of code,,,,,,,,
code smell number per 10000 lines of code,,,,,,,,
