checker name,notebooks1,notebooks2,projects1,projects2
import-pandas,4,0,32,0
import-numpy,7,6,255,19
import-pyplot,2,0,1,0
import-sklearn,9,19,1,3
import-tensorflow,0,4,4,0
import-pytorch,2,0,0,3
unnecessary-iteration-pandas,0,0,0,0
dataframe-iteration-modification-pandas,6,15,3,0
unnecessary-iteration-tensorflow,0,0,0,0
nan-numpy,7,0,0,0
chain-indexing-pandas,73,22,0,8
datatype-pandas,2091,1601,47,766
column-selection-pandas,1861,1366,23,463
merge-parameter-pandas,6,3,1,0
inplace-pandas,21,20,0,0
dataframe-conversion-pandas,341,193,14,214
scaler-missing-scikitlearn,93,67,4,24
hyperparameters-scikitlearn,371,423,8,11
hyperparameters-tensorflow,19,16,1,0
hyperparameter-pytorch,0,0,0,0
memory-release-tensorflow,0,0,0,0
deterministic-pytorch,0,3,14,223
randomness-control-numpy,8,4,160,170
randomness-control-scikitlearn,105,93,4,8
randomness-control-tensorflow,1,0,226,11
randomness-control-pytorch,0,2,12,220
randomness-control-dataloader-pytorch,86,83,25,428
missing-mask-tensorflow,1,0,66,7
missing-mask-pytorch,3,0,5,49
tensor-array-tensorflow,0,0,0,0
forward-pytorch,3,22,361,43
gradient-clear-pytorch,0,3,1,0
data-leakage-scikitlearn,148,135,0,0
dependent-threshold-scikitlearn,7,3,0,0
dependent-threshold-tensorflow,0,0,0,0
dependent-threshold-pytorch,0,0,0,0
